unicode,uniname,branch,address,latitude,longitude,distance
0000257,경인교육대학교,제2캠퍼스,경기도 안양시 만안구 삼막로 155,37.4342491,126.9164333,14.446501482706285
0000258,전주교육대학교,본교,전라북도 전주시 완산구 서학로 50,35.8087125,127.1551917,193.93826548045703
0000260,진주교육대학교,본교,경상남도 진주시 진양호로369번길 3,35.1863618,128.0670038,279.69529517605525
0000261,청주교육대학교,본교,충청북도 청주시 서원구 청남로 2065,36.6164054,127.4850572,112.7526869580527
0000262,춘천교육대학교,본교,강원특별자치도 춘천시 공지로 126,37.8592511,127.7475533,75.18498677336153
0000263,한밭대학교(산업대),본교,대전광역시 유성구 동서대로 125,36.3520635,127.3014114,135.96475864998254
0000268,한경대학교(산업대),본교,경기도 안성시 중앙로 327,37.0116670,127.2640718,64.67985853327727
0000269,진주산업대학교(산업대),본교,경상남도 진주시 동진로 33,35.1810114,128.0939071,281.0962825531576
0000272,한국산업기술대학교(산업대),본교,경기도 시흥시 산기대학로 237,37.3400342,126.7335061,32.514025874503766
0000273,한국방송통신대학교,본교,서울특별시 종로구 대학로 86,37.5793538,127.0033287,3.400829798643972
0000276,남서울대학교(산업대),본교,충청남도 천안시 서북구 성환읍 대학로 91,36.9095318,127.1447235,72.55173620081385
0000281,우송대학교(산업대),본교,대전광역시 동구 동대전로 171,36.3375527,127.4453669,140.7035853410433
0000282,호원대학교,본교,전라북도 군산시 임피면 호원대3길 64,35.9667427,126.8648162,176.1736926087087
0000283,초당대학교(산업대),본교,전라남도 무안군 무안읍 무안로 380,34.9776261,126.4735349,289.29007765198264
0000284,청운대학교,본교,충청남도 홍성군 홍성읍 대학길 25,36.5822250,126.6626250,111.36273775133336
0000285,경운대학교(산업대),본교,경상북도 구미시 산동면 강동로 730,36.1678660,128.4676331,202.40524109414602
0000288,정석대학,본교,서울특별시 강서구 오정로 576,37.5463044,126.8139076,15.413703085453031
0000317,순복음총회신학교,본교,충청북도 제천시 덕산면 도전로 320,36.9036725,128.1675881,126.95625213214987
0000318,경희사이버대학교,본교,서울특별시 동대문구 경희대로 26,37.5964494,127.0525009,7.582520994012081
0000319,국제사이버대학교,본교,경기도 수원시 팔달구 경수대로 490,37.2695902,127.0282596,31.451444668994725
0000320,대구사이버대학교,본교,경상북도 경산시 진량읍 대구대로 201,35.9010490,128.8491000,247.30383208938073
0000321,부산디지털대학교,본교,부산광역시 사상구 주례로 57,35.1463334,129.0093833,322.66642508643355
0000322,서울디지털대학교,본교,서울특별시 강서구 공항대로 424,37.5549966,126.8540230,11.866248260229298
0000323,서울사이버대학교,본교,서울특별시 강북구 솔매로49길 60,37.6298138,127.0275357,9.393753882133925
0000325,세종사이버대학교,본교,서울특별시 광진구 군자로 121,37.5535967,127.0726989,7.469105627938185
0000326,한국열린사이버대학교,본교,"서울특별시 중랑구 망우로 353, C동 9층",37.5982973,127.0903644,10.42910956943617
0000327,원광디지털대학교,본교,전라북도 익산시 익산대로 460,35.9678300,126.9557171,175.7321070963631
0000328,고려사이버대학교,본교,서울특별시 종로구 북촌로 106,37.5869859,126.9871028,3.976498658242783
