cname; iso2; iso3; year; pv6t1; pv6t2; pv6t3; pv6t4; pv6t5; pv6t6; pv6t7; pv6t8; pv6t9;
Germany; de; deu; 1998; .2140860956393033; .1815183255840536; .1009472017405369; .1172123042547297; .0972180324383687; .0742879972544425; .1497157681831771; .0614268258920062; .003587449013382;
Germany; de; deu; 1999; .1913053656781677; .1900001199701397; .1088419827537103; .1200748556498373; .101281550487895; .0745720510560713; .1539517896224264; .0523912078698179; .0075810769119345;
Germany; de; deu; 2000; .1954013028179765; .1967672479553352; .1079556334488386; .1206580257824258; .1017299634490849; .0683948435109841; .150796853076978; .0512310984741045; .0070650314842725;
Germany; de; deu; 2001; .1945329141534441; .2061839349721886; .1065955940673176; .1187057926703843; .1028266112656362; .0695004014867506; .1434430316189158; .051595525381023; .0066161943843399;
Germany; de; deu; 2002; .1964673280785678; .2046357697402249; .1048205672460842; .1119131704981722; .1048912256105172; .0765930200933434; .1300111015124689; .0650270778115213; .0056407394091;
Germany; de; deu; 2003; .1991083826343728; .2149589316126393; .1106679978709784; .0975754592514034; .103490175763232; .0751871705636153; .128939385507235; .0643616773322581; .0057108194642657;
Germany; de; deu; 2004; .2013633689763956; .2230870782773144; .1065191922669753; .0913442787007996; .0998558880668636; .0841291473640715; .1210216250807277; .0669162084215143; .0057632128453382;
Germany; de; deu; 2005; .2087935654044216; .2195674060017137; .110446869432704; .0875265603988048; .0955313831930324; .0790496553661553; .127799580903942; .0660192248306478; .0052657544685784;
Germany; de; deu; 2006; .2052850993773638; .2445655409240432; .1083135647054956; .0834003353684521; .0889200967676972; .0798342243867795; .1107093357120805; .0747180931334266; .0042537096246614;
Germany; de; deu; 2007; .2197482606741613; .2536265291931344; .1082516911822026; .075148236424455; .089800944996968; .0779288658613438; .1101712923117737; .0630129941203422; .0023111852356189;
Germany; de; deu; 2008; .2311244162245101; .2612039185246902; .109524230260949; .0715905270557195; .0902395113216728; .0702448184817186; .0980597391478894; .0640682190176467; .0039446199652037;
Germany; de; deu; 2009; .2262529262032028; .2609907343425028; .1043637729073268; .0622104883242858; .0929878871007948; .0662004641552671; .1195045547320646; .0656579083526393; .001831263881916;
Germany; de; deu; 2010; .2147813575213753; .2592509210048284; .1197506863943549; .0722221369262158; .0902388830099644; .06925176115506; .1128316747936546; .0577010167006928; .0039715624938538;
Germany; de; deu; 2011; .212902603718876; .2671947637109978; .1246852206066059; .0665847395059643; .0896784891479193; .0677965507934231; .1138826252341089; .0514520063828432; .0058230008992616;
Germany; de; deu; 2012; .212155230121691; .2494244559784718; .1199854757607233; .071668729580802; .0847045648614641; .0679239326039462; .1189403030384765; .0697730660614314; .0054242419929937;
Germany; de; deu; 2013; .2183708158731964; .2514425269598216; .1212589328348641; .066548969188285; .0865820918472369; .0694292049255456; .1113070062718986; .0685975266604077; .0064629254387442;
Germany; de; deu; 2014; .227356291520784; .2441070205683899; .1191625860054349; .0590763521389878; .0804957562549757; .0708976031518747; .1202743793910511; .0719941584508344; .0066358525176674;
Germany; de; deu; 2015; .2288728075306233; .2407562744991015; .1185998789733108; .063937381764284; .0842682372538426; .0677863569987441; .1243820849510765; .0653638676870259; .0060331103419914;
Germany; de; deu; 2016; .2382800564365811; .2413200236950119; .1223050177796769; .0578265541698687; .0813624646154082; .0657364485176402; .1219930353089674; .0662823218881925; .0048940775886531;
Germany; de; deu; 2017; .2383160465020589; .2495653284971172; .1206526548422897; .0644473352103845; .0746772369818283; .0631782939625214; .1146548412558979; .0679731861127235; .0065350766351787;
Germany; de; deu; 2018; .2478748064359752; .247062374813653; .1197783270088144; .0577390409743933; .0787632088100234; .0637694423963783; .1098653536851089; .0671338380566483; .0080136078190051;
Germany; de; deu; 2019; .2389865070186604; .2596797253669864; .1193297890338723; .0564955566283279; .072146687019383; .0575051643073266; .1094348658765973; .0765930343219322; .0098286704269139;
Germany; de; deu; 2020; .2420870604629749; .24419403420586; .1231124288753899; .0564214623984119; .0801283815992427; .0548981314138004; .1164519548022902; .0722341089958144; .0104724372462155;
Georgia; ge; geo; 2009; .0650274593947296; .0656687857820104; .0189142768007128; .0435132394603928; .1147211148282194; .0172260407897654; .0971673628935506; .4551523648524943; .1226093551981249;
Georgia; ge; geo; 2010; .0581997411439439; .0692006221151191; .0273517004661268; .0475411204297686; .1084586873766813; .0224573431117018; .104893620458273; .4316451555909692; .1302520093074163;
