cname; iso2; iso3; year; eminq0; eminq1; eminq2; eminq3; eminq4; eminq5;
Paraguay; py; pry; 2002; 48530364482000.13; 1253127632096.497; 3180432315856.625; 5662124236091.5; 8715435013308.5; 29719245284647;
Paraguay; py; pry; 2003; 57195933762870.88; 1888198034682.633; 4569223357245.25; 7038652720409; 11104851794409; 32595007856125;
Paraguay; py; pry; 2004; 59946319911971.03; 2016738110847.279; 5098810154401.75; 7863014634894; 12378278612451; 32589478399377;
Paraguay; py; pry; 2005; 70810941320777.5; 2295184383732.742; 6245164032967.25; 9791165899293.5; 14646863493058; 37832563511726;
Paraguay; py; pry; 2006; 74279244452766.7; 2554549482922.953; 6346961531410.75; 9745150534328; 15488182766309; 40144400137796;
Paraguay; py; pry; 2007; 89545294677866.47; 3082333755352.977; 7681554622158.5; 11943043086096; 17593147247449; 49245215966810;
Paraguay; py; pry; 2008; 96969731598267.03; 3878886731841.035; 8690881899312; 13481187184647; 20744412531139; 50174363251328;
Paraguay; py; pry; 2009; 101112863012336.8; 3178285242658.762; 8514500967612; 13647163767260; 22585649718672; 53187263316134;
Paraguay; py; pry; 2010; 118952386637245.8; 3833138706245.281; 9645959993990.5; 16181998482877; 24948477370827; 64342812083306;
Paraguay; py; pry; 2011; 137200318519977.1; 3970531853006.121; 10597587203160; 17576842804423; 28189797580658; 76865559078730;
Paraguay; py; pry; 2012; 141251840406434.6; 4591176106999.563; 12265953640263; 20324131545654; 32549507794996; 71521071318522;
Paraguay; py; pry; 2013; 166307458269972.6; 5503388048859.607; 14102340650361; 23534587559838; 36353515574802; 86813626436112;
Paraguay; py; pry; 2014; 187494262508472.2; 5775934089437.156; 14977716787700; 24303965736385; 37983765751026; 104452880143924;
Paraguay; py; pry; 2015; 183760949642360.2; 5326747223944.234; 15462940279081; 25777277863567; 39498353132688; 97695631143080;
Paraguay; py; pry; 2016; 186680562685648.4; 5418271136686.922; 15412802781745.5; 25764193343066; 40341774228346; 99743521195804;
Paraguay; py; pry; 2017; 209048555075115.5; 6428227181014.5; 17008643407980; 27574055552465; 43654273215576; 114383355718080;
Paraguay; py; pry; 2018; 213915817040254.3; 6844159390058.34; 19247209858400; 30813172204304; 48428898485124; 108582377102368;
Paraguay; py; pry; 2019; 222088885411886.9; 7348215716560.863; 20026686072580; 31915171907082; 50780300915856; 112018510799808;
Paraguay; py; pry; 2020; 195661132037994.6; 6437652306124.62; 18557481815491; 29440001021909; 44751067713082; 96474929181388;
Peru; pe; per; 2004; 171295623205.4021; -679629458.7358054; 9910150064.480648; 21844915320.39045; 38343723427.11839; 101876463852.1484;
Peru; pe; per; 2005; 167065822417.8761; 1913625852.59941; 10028896206.8858; 21827622189.73326; 37570049998.63538; 95725628170.02225;
Peru; pe; per; 2006; 206764340589.9635; 2797210701.029031; 12894342202.60417; 26561651006.61283; 46590599534.84753; 117920537144.87;
Peru; pe; per; 2007; 246738005098.6263; 3374582603.195366; 15817737767.31499; 31153766316.36311; 55395241831.62554; 140996676580.1273;
Peru; pe; per; 2008; 274113515273.0159; 3200467669.7457; 18464945683.5299; 37508622890.83037; 64827380254.22417; 150112098774.6858;
Peru; pe; per; 2009; 301994962983.5379; 3127502746.513282; 20612783060.89483; 41047840275.25007; 70742072628.67484; 166464764272.2049;
Peru; pe; per; 2010; 318982118429.0024; 2120564716.805674; 22050339463.02606; 44293672947.85271; 73696485852.30981; 176821055449.0081;
Peru; pe; per; 2011; 333971662227.7311; 1591963259.201135; 23379766655.65286; 46981100618.03896; 81487274746.29587; 180531556948.5423;
Peru; pe; per; 2012; 389450749654.3826; 3052382941.026477; 27263228731.87083; 54160459090.14661; 93013928593.44228; 211960750297.8965;
Peru; pe; per; 2013; 408413171294.8438; 3673280000.421382; 29339394476.1203; 58238043024.23996; 99178883379.0789; 217983570414.9832;
Peru; pe; per; 2014; 428204584075.9498; 4288697811.436425; 30796408733.00933; 61300265163.93754; 102034550810.8722; 229784661556.6943;
Peru; pe; per; 2015; 445826338215.8231; 3842379320.799064; 32112456676.08077; 65038704874.07467; 105846582969.7305; 238986214375.1381;
Peru; pe; per; 2016; 479734064836.637; 3770019728.270248; 33506461507.76916; 68498112870.7353; 114519501883.3411; 259439968846.5211;
Peru; pe; per; 2017; 485316416728.0455; 5087376524.320301; 34001054915.2047; 69425483749.50235; 117260832129.8019; 259541669409.2162;
Peru; pe; per; 2018; 496379767071.8145; 5009666802.202418; 33554392351.47554; 71515471300.76909; 122043401951.648; 264256834665.7194;
Peru; pe; per; 2019; 519775795482.6951; 5321584154.922936; 37084148024.17194; 75753128079.12805; 127678940767.4281; 273937994457.044;
Peru; pe; per; 2021; 435177592774.3925; 2072885684.418101; 28921497295.20917; 62247071103.35555; 106444983233.8631; 235491155457.5465;
Poland; pl; pol; 1986; 935233636.1755794; 1414827.244300119; 90193822.87063614; 182753974.9974748; 256930941.3685141; 403940069.6946543;
Poland; pl; pol; 1992; 98458545737.83217; 705968056.0623695; 9555257052.400356; 18545781169.20414; 26451452757.7359; 43200086702.4294;
