cname; iso2; iso3; year; ehpublicq0; ehpublicq1; ehpublicq2; ehpublicq3; ehpublicq4; ehpublicq5;
Switzerland; ch; che; 2008; 60041894103.42836; 24818639480.78536; 15747939797.17029; 8991030676.256916; 6267016583.978369; 4217267565.237433;
Switzerland; ch; che; 2009; 67119342307.88656; 26285342003.92564; 17429935844.1377; 12020950831.48393; 6925518101.5548; 4457595526.784493;
Switzerland; ch; che; 2010; 70439615452.274; 27390633351.13757; 19218504765.38135; 11539345280.2881; 7333071412.354005; 4958060643.112982;
Switzerland; ch; che; 2011; 70899976304.16104; 26926492003.46909; 20152399043.2465; 11244855859.70228; 7282148474.148714; 5294080923.59446;
Switzerland; ch; che; 2012; 73898162401.84576; 28547225793.7336; 20575402963.22476; 12069652842.82299; 7288553292.14696; 5417327509.917453;
Switzerland; ch; che; 2013; 82570071751.77731; 32412940706.67132; 22299913096.68636; 13201157968.26251; 8156658125.779056; 6499401854.378058;
Switzerland; ch; che; 2014; 81353253796.89421; 32556084077.78801; 21581453038.69954; 12979948897.46278; 7587309976.703104; 6648457806.240779;
Switzerland; ch; che; 2015; 84208512175.89458; 33487190485.92154; 22826394851.14685; 13245591868.46269; 8435414778.048646; 6213920192.314853;
Switzerland; ch; che; 2016; 88974150751.189; 34585612501.59975; 23975111605.30461; 13723225284.16831; 9359337722.80765; 7330863637.308665;
Switzerland; ch; che; 2017; 91135365831.16902; 33260289726.44986; 25458792314.35606; 14297617083.33151; 10473077687.25898; 7645589019.772617;
Switzerland; ch; che; 2018; 89604592660.49489; 33589881395.09573; 24888699675.54553; 14875297185.18228; 9109901490.058674; 7140812914.612679;
Switzerland; ch; che; 2019; 92943666498.63165; 35566501808.68374; 26024172625.75399; 14527637812.08405; 9466717370.519205; 7358636881.590669;
Taiwan; tw; twn; 1981; 9299149761.457159; 2829061502.395769; 1512819181.173595; 1778033354.466714; 1285131758.758621; 1894103964.662459;
Taiwan; tw; twn; 1986; 17628353648.00414; 5569020563.249983; 2817849312.201959; 2755470806.244245; 3069465473.165058; 3416547493.1429;
Taiwan; tw; twn; 1991; 83245924884.29042; 26473529557.73212; 17045649105.98711; 14972685599.96552; 13988938231.582; 10765122389.02367;
Taiwan; tw; twn; 1995; 520792584853.2964; 104828530517.2763; 96571891552.97792; 101428749177.9296; 101643927978.3223; 116319485626.7903;
Taiwan; tw; twn; 1997; 326151090587.1632; 82106835009.28708; 51696543255.68487; 50413358829.78094; 55545197542.43905; 86389155949.97128;
Taiwan; tw; twn; 2000; 477752709027.6207; 117109202884.2007; 73121428337.96027; 74867164951.0571; 83638346626.11115; 129016566228.2914;
Taiwan; tw; twn; 2005; 744941629234.0122; 163067780680.0342; 121774070800.2896; 116206632259.2915; 130564479827.5484; 213328665666.8484;
Taiwan; tw; twn; 2007; 762635505434.4769; 181347044614.0424; 141563869759.7215; 143255551153.6152; 138329687499.9973; 158139352407.1005;
Taiwan; tw; twn; 2010; 660741917464.3253; 165784050795.1567; 124429045723.3448; 112133191616.784; 120491279656.2645; 137904349672.7754;
Taiwan; tw; twn; 2013; 969096321102.8977; 234919138668.9181; 195412791561.4047; 188799419523.3016; 184193228482.0042; 165771742867.2691;
Taiwan; tw; twn; 2016; 1124657894970.343; 295081685834.4409; 234764416186.3477; 207720806435.9277; 197356054639.4716; 189734931874.1553;
Taiwan; tw; twn; 2017; 1220657998498.802; 295921982631.3258; 260131921375.6945; 233125446513.3419; 221933557333.5515; 209545090644.8878;
Taiwan; tw; twn; 2018; 1223647126166.469; 291418392231.5269; 259725642249.9258; 236162807868.2915; 233081509984.1317; 203258773832.5935;
Taiwan; tw; twn; 2019; 1286513047140.741; 307902642452.3715; 268558301996.9995; 260830625888.2931; 243093925484.5875; 206127551318.49;
Taiwan; tw; twn; 2020; 1547546215089.518; 372895613119.6594; 329894385455.2897; 301842786399.7646; 299626860419.9958; 243286569694.8087;
Taiwan; tw; twn; 2021; 1739227159020.89; 392063991383.3589; 378611536066.1938; 353303045060.4227; 327752651413.8939; 287495935097.0211;
United Kingdom; uk; gbr; 1968; 5114363809.47733; 2022496069.022966; 1336137498.55397; 781995717.0798892; 597006053.0543895; 376728471.7661163;
United Kingdom; uk; gbr; 1969; 5898855531.871882; 2296034875.130925; 1545122178.883025; 969975441.0869918; 656908712.8647515; 430814323.906189;
United Kingdom; uk; gbr; 1970; 6007664061.930467; 2276647410.05401; 1545017209.729791; 1089566586.598583; 664092262.8316153; 432340592.7164667;
United Kingdom; uk; gbr; 1971; 5904529526.398723; 2592250505.591626; 1536607715.611684; 836258941.7911719; 598734985.6656476; 340677377.7385929;
United Kingdom; uk; gbr; 1972; 6177522879.175051; 2874337028.516124; 1551210615.457862; 773539930.3619529; 573772780.2385825; 404662524.6005297;
United Kingdom; uk; gbr; 1973; 7540704675.502143; 3469946097.323686; 1987029712.297413; 1003641035.52805; 688690920.7318469; 391396909.6211472;
United Kingdom; uk; gbr; 1974; 8939094973.306526; 4130999245.735717; 2385890718.830457; 1122688573.137989; 798902930.400901; 500613505.2014621;
United Kingdom; uk; gbr; 1975; 11388890132.55346; 5188133244.993268; 3090119248.195874; 1438720856.280097; 1024792372.580725; 647124410.5034961;
United Kingdom; uk; gbr; 1976; 14500244674.98517; 6607254776.592978; 4113881066.111541; 1887389899.117085; 1163636788.362188; 728082144.8013818;
United Kingdom; uk; gbr; 1977; 17694313890.69922; 7515389404.77844; 5002869598.314088; 2469494710.220567; 1678400881.420992; 1028159295.965133;
United Kingdom; uk; gbr; 1978; 21481981067.67151; 8913328037.291636; 6072211154.618398; 3213566133.816371; 2094369458.702612; 1188506283.242495;
United Kingdom; uk; gbr; 1979; 25950383049.69002; 9664421218.279417; 7499662546.405398; 4041214653.197261; 3054772182.513477; 1690312449.294466;
United Kingdom; uk; gbr; 1980; 30575570608.23691; 11738367088.4839; 8921180462.270885; 4915961600.617341; 3146630291.562581; 1853431165.302196;
United Kingdom; uk; gbr; 1981; 38504925622.65938; 14800175626.22126; 11342920643.24648; 5899760788.050482; 4320568435.531571; 2141500129.60958;
United Kingdom; uk; gbr; 1982; 49695296467.52718; 19458059571.23929; 14227725518.24794; 7845266128.30466; 5251995847.071031; 2912249402.664265;
