cname; iso2; iso3; year; ehipubsocq0; ehipubsocq1; ehipubsocq2; ehipubsocq3; ehipubsocq4; ehipubsocq5;
Russia; ru; rus; 2022; 5991141817908.607; 1551819154042.14; 1949917997499.892; 904567213849.8502; 907151151390.9871; 677686301125.7375;
Serbia; rs; srb; 2006; 40199729724.26942; 6970634271.569124; 9953137202.084217; 11896493475.38698; 9158692200.845503; 2220772574.383594;
Serbia; rs; srb; 2007; 40453623438.67475; 6011366011.996434; 10955587610.3001; 11529619733.52314; 7680128904.750518; 4276921178.10455;
Serbia; rs; srb; 2008; 37356921514.58671; 6304851135.322919; 10384424406.38508; 11890786391.25624; 6834988101.080921; 1941871480.541543;
Serbia; rs; srb; 2009; 43568800445.06586; 8704815569.129034; 8901903632.887157; 14073266093.69904; 7399052352.755657; 4489762796.594979;
Serbia; rs; srb; 2010; 53089049046.003; 13995108178.03139; 8234136744.809583; 20598838349.04161; 7853312729.869545; 2407653044.250879;
Serbia; rs; srb; 2011; 44449598873.85073; 7820119117.083323; 9375106365.738417; 15764443760.63209; 7825282993.243237; 3664646637.153667;
Serbia; rs; srb; 2012; 62751779886.8556; 15058982222.47718; 10225957285.08024; 22119949478.56577; 8309841633.784203; 7037049266.948202;
Serbia; rs; srb; 2013; 70533362825.25975; 18797741155.81165; 9757022190.506033; 24503577419.41249; 13446082515.05594; 4028939544.473645;
Serbia; rs; srb; 2014; 108935759443.5282; 34240842292.91128; 16405963013.015; 31463866685.99258; 16221901945.66716; 10603185505.94215;
Serbia; rs; srb; 2015; 95008807534.35219; 23388250453.73826; 17709773673.98474; 29429926064.30542; 16773024818.57666; 7707832523.747101;
Serbia; rs; srb; 2016; 87325706096.75159; 25841121780.90547; 11774065400.59816; 21943750083.64643; 19569487661.31981; 8197281170.281712;
Serbia; rs; srb; 2017; 78940100128.01347; 22420262191.12049; 10806911048.3374; 26936671060.69446; 12775464879.94316; 6000790947.917954;
Serbia; rs; srb; 2018; 83906419152.89091; 24120364018.62027; 9422069756.394777; 29864132455.40416; 12626358961.30207; 7873493961.16964;
Serbia; rs; srb; 2019; 87018747534.63962; 19859471625.10883; 8887475091.127657; 33220241988.64906; 16201025425.93991; 8850533403.814148;
Serbia; rs; srb; 2021; 92598833113.10669; 27780594825.69496; 7104628927.671437; 32297442089.27746; 17943920018.84266; 7472247251.620174;
Serbia; rs; srb; 2022; 95121056882.77777; 26151240061.31771; 6560280725.067794; 33049967091.67723; 17666910232.30383; 11692658772.4112;
Slovakia; sk; svk; 1992; 1378801010.373127; 181840247.8285991; 338757964.5383239; 397302786.3622666; 276526948.7787225; 184373062.8652147;
Slovakia; sk; svk; 1996; 1135874121.760352; 142631470.2894685; 308226094.5154303; 344838537.1564922; 237973891.1417981; 102204128.6571628;
Slovakia; sk; svk; 2004; 1857166376.698008; 186364941.8900347; 453212273.8096173; 504466241.4155005; 417548757.6833786; 295574161.8994768;
Slovakia; sk; svk; 2007; 1554765918.079729; 171459214.0749895; 369880275.764469; 454325903.125438; 328290103.7686207; 230810421.3462115;
Slovakia; sk; svk; 2010; 2203023848.60254; 196838264.270961; 701081136.7455349; 583182450.7007164; 430189388.325118; 291732608.5602098;
Slovakia; sk; svk; 2013; 2293776291.407499; 263039820.7873657; 621975441.6253895; 656167084.8355525; 462500504.8498397; 290093439.3093516;
Slovakia; sk; svk; 2014; 2224911557.985921; 254840361.3775693; 676738518.8602622; 557509059.0181737; 450728380.1042598; 285095238.6256562;
Slovakia; sk; svk; 2015; 2107830409.027584; 220140120.6696181; 652974532.9613125; 542101967.9156702; 397163866.1546044; 295449921.326379;
Slovakia; sk; svk; 2016; 1977744452.653977; 186243172.4524528; 599300212.5410345; 522540556.4393937; 421510739.5571858; 248149771.6639099;
Slovakia; sk; svk; 2017; 2313360532.597663; 209184121.0130395; 787154544.3850191; 622044342.7698036; 423448380.4468364; 271529143.9829642;
Slovakia; sk; svk; 2018; 2475988024.743098; 307808555.1442158; 791906131.1513666; 690561484.9083861; 396561344.1802039; 289150509.3589255;
South Korea; kr; kor; 2006; 15234308839334.7; 6802336456836.031; 3245038324889.708; 2002657924991.001; 1557793231375.518; 1626482901242.442;
South Korea; kr; kor; 2008; 20026396253704.11; 7664504675261.786; 4383995598004.083; 3385649966537.747; 2337066954570.958; 2255179059329.529;
South Korea; kr; kor; 2010; 22990660341778.46; 8646889563381.557; 4793148361094.311; 3043718100890.33; 3073606729860.552; 3433297586551.707;
